epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.801,1.76853,3.47268,1.77376,0.7716,0.41665,0.56027,0.25956,1.68559,2.87542,1.89345,0.000412326,0.000412326,0.000412326
2,62.4586,1.63313,2.33954,1.63462,0.4602,0.48811,0.4499,0.21123,1.76384,2.39384,1.96957,0.000801636,0.000801636,0.000801636
3,91.1704,1.61886,2.00139,1.63296,0.6939,0.5317,0.61974,0.32916,1.57602,1.80106,1.74852,0.00116345,0.00116345,0.00116345
4,121.429,1.56256,1.73131,1.58575,0.59324,0.64756,0.65656,0.35907,1.58574,1.57236,1.72321,0.00112625,0.00112625,0.00112625
5,149.963,1.53741,1.59602,1.54813,0.78713,0.45477,0.57796,0.30424,1.60044,2.03274,1.74496,0.001085,0.001085,0.001085
6,178.255,1.51403,1.45184,1.54009,0.70053,0.6949,0.75242,0.4278,1.55187,1.34653,1.72334,0.00104375,0.00104375,0.00104375
7,206.488,1.4982,1.31826,1.53266,0.6743,0.66515,0.74349,0.40165,1.59856,1.47874,1.75021,0.0010025,0.0010025,0.0010025
8,235.63,1.46544,1.24418,1.49486,0.76496,0.69808,0.76824,0.43457,1.52998,1.19945,1.62669,0.00096125,0.00096125,0.00096125
9,264.661,1.45901,1.22297,1.4811,0.83197,0.66948,0.77643,0.41696,1.61548,1.322,1.72335,0.00092,0.00092,0.00092
10,292.978,1.47815,1.21079,1.48695,0.81889,0.72075,0.78911,0.43365,1.522,1.16817,1.602,0.00087875,0.00087875,0.00087875
11,321.546,1.4434,1.13699,1.47864,0.81002,0.75643,0.83177,0.47622,1.47848,1.06898,1.58436,0.0008375,0.0008375,0.0008375
12,351.382,1.4059,1.06788,1.43772,0.81969,0.81833,0.86175,0.47524,1.51452,0.98661,1.61431,0.00079625,0.00079625,0.00079625
13,380.196,1.3975,1.04762,1.42695,0.90235,0.73259,0.84494,0.49346,1.50911,1.02589,1.6141,0.000755,0.000755,0.000755
14,408.673,1.38131,1.02959,1.4244,0.8018,0.82516,0.86307,0.49915,1.51477,0.9723,1.60548,0.00071375,0.00071375,0.00071375
15,436.926,1.38076,0.98033,1.41981,0.86737,0.78056,0.86345,0.48174,1.54058,0.95924,1.61274,0.0006725,0.0006725,0.0006725
16,465.418,1.35514,0.94502,1.40575,0.8276,0.79465,0.85311,0.50301,1.49942,0.97543,1.59465,0.00063125,0.00063125,0.00063125
17,494.348,1.33745,0.92443,1.39233,0.9124,0.81311,0.86946,0.51618,1.46368,0.86147,1.55735,0.00059,0.00059,0.00059
18,522.957,1.32529,0.90123,1.3862,0.8571,0.82959,0.87692,0.52119,1.44833,0.87024,1.54884,0.00054875,0.00054875,0.00054875
19,552.753,1.30858,0.89782,1.37544,0.88026,0.78123,0.85603,0.48844,1.52452,0.91649,1.6191,0.0005075,0.0005075,0.0005075
20,581.166,1.31386,0.89661,1.38529,0.84464,0.80153,0.85694,0.50382,1.46646,0.92377,1.55696,0.00046625,0.00046625,0.00046625
21,610.919,1.32765,0.77745,1.46061,0.89358,0.80228,0.87877,0.51638,1.44767,0.83806,1.55071,0.000425,0.000425,0.000425
22,638.069,1.30725,0.76489,1.45027,0.86859,0.82739,0.87282,0.51837,1.43997,0.83283,1.52917,0.00038375,0.00038375,0.00038375
23,665.269,1.28289,0.70901,1.41963,0.92763,0.82347,0.89934,0.52836,1.46572,0.84117,1.55501,0.0003425,0.0003425,0.0003425
24,692.288,1.25505,0.67593,1.41901,0.8951,0.8521,0.89897,0.53502,1.44677,0.80695,1.52204,0.00030125,0.00030125,0.00030125
25,719.533,1.25379,0.66396,1.3979,0.90337,0.84038,0.89237,0.53739,1.44817,0.78133,1.53818,0.00026,0.00026,0.00026
26,746.839,1.22775,0.63622,1.36924,0.89604,0.85246,0.90742,0.54715,1.4126,0.7395,1.51959,0.00021875,0.00021875,0.00021875
27,775.669,1.21415,0.62416,1.37513,0.902,0.84502,0.89316,0.54039,1.40558,0.77615,1.50379,0.0001775,0.0001775,0.0001775
28,802.914,1.1768,0.60162,1.35067,0.90759,0.86468,0.90543,0.54967,1.41532,0.73592,1.52001,0.00013625,0.00013625,0.00013625
29,829.846,1.16673,0.5887,1.33596,0.9041,0.84356,0.89918,0.54809,1.41993,0.74756,1.51297,9.5e-05,9.5e-05,9.5e-05
30,856.502,1.16136,0.58312,1.32793,0.91085,0.84178,0.90624,0.54882,1.4016,0.73045,1.50275,5.375e-05,5.375e-05,5.375e-05
