epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.893,1.81125,3.03997,1.8817,0.60391,0.50501,0.54148,0.26615,1.70734,1.82862,2.02014,0.000412326,0.000412326,0.000412326
2,71.3148,1.68022,1.69899,1.71469,0.70186,0.41938,0.52469,0.24503,1.92143,2.86732,2.09155,0.000820786,0.000820786,0.000820786
3,105.096,1.66996,1.63499,1.72011,0.5399,0.42422,0.4486,0.22023,1.882,2.05179,2.01121,0.001221,0.001221,0.001221
4,137.744,1.60782,1.54265,1.6596,0.7519,0.61315,0.68498,0.36291,1.62611,1.58761,1.85172,0.00121287,0.00121287,0.00121287
5,170.813,1.59216,1.49088,1.65128,0.52782,0.43514,0.46177,0.26362,1.69778,2.38907,1.94582,0.0012005,0.0012005,0.0012005
6,204.319,1.55573,1.36974,1.64141,0.75905,0.68535,0.76591,0.42359,1.56075,1.274,1.80984,0.00118812,0.00118812,0.00118812
7,236.675,1.5494,1.25737,1.61587,0.67143,0.70343,0.72486,0.3981,1.58706,1.39326,1.77367,0.00117575,0.00117575,0.00117575
8,269.86,1.52577,1.23286,1.59966,0.76808,0.64187,0.72295,0.39392,1.59176,1.3244,1.78659,0.00116337,0.00116337,0.00116337
9,302.245,1.5137,1.21171,1.57866,0.75253,0.74484,0.78224,0.43257,1.57138,1.16572,1.78978,0.001151,0.001151,0.001151
10,335.746,1.53162,1.23523,1.5968,0.81971,0.75823,0.80838,0.45872,1.51592,1.13486,1.71908,0.00113863,0.00113863,0.00113863
11,369.817,1.49274,1.17343,1.57183,0.78175,0.78769,0.82596,0.46721,1.51037,1.0724,1.71991,0.00112625,0.00112625,0.00112625
12,403.341,1.46832,1.10219,1.54329,0.76962,0.77474,0.81074,0.44414,1.57552,1.11926,1.76138,0.00111388,0.00111388,0.00111388
13,437.368,1.45084,1.08153,1.52871,0.81466,0.77632,0.83514,0.45308,1.55789,1.1015,1.76684,0.0011015,0.0011015,0.0011015
14,470.428,1.43407,1.05755,1.50099,0.78893,0.75483,0.81886,0.46257,1.51026,1.06425,1.68686,0.00108913,0.00108913,0.00108913
15,503.393,1.45552,1.02548,1.53949,0.72512,0.78247,0.79807,0.43306,1.58703,1.05565,1.75158,0.00107675,0.00107675,0.00107675
16,536.588,1.41298,1.01256,1.50245,0.8202,0.75574,0.84241,0.47807,1.53724,1.06832,1.69958,0.00106437,0.00106437,0.00106437
17,569.935,1.40967,0.98684,1.50074,0.84907,0.75833,0.83007,0.46629,1.5657,1.0487,1.70956,0.001052,0.001052,0.001052
18,603.627,1.39374,0.94096,1.47359,0.80575,0.79621,0.83667,0.47176,1.52161,0.94099,1.67299,0.00103962,0.00103962,0.00103962
19,636.893,1.4069,0.95043,1.49088,0.80507,0.79665,0.8381,0.48154,1.4669,1.01648,1.64878,0.00102725,0.00102725,0.00102725
20,669.946,1.38444,0.98825,1.47188,0.8287,0.74466,0.81833,0.44038,1.56178,1.067,1.71114,0.00101488,0.00101488,0.00101488
21,702.435,1.37845,0.92132,1.47191,0.82321,0.81103,0.85052,0.47937,1.5249,0.91038,1.68235,0.0010025,0.0010025,0.0010025
22,735.561,1.3695,0.91051,1.45344,0.8537,0.79104,0.85766,0.49268,1.4852,0.90873,1.67486,0.000990125,0.000990125,0.000990125
23,769.122,1.36082,0.90324,1.46763,0.85956,0.82829,0.8673,0.49918,1.50736,0.9254,1.69311,0.00097775,0.00097775,0.00097775
24,801.877,1.35953,0.88213,1.46185,0.85661,0.8225,0.87299,0.49944,1.5069,0.86557,1.691,0.000965375,0.000965375,0.000965375
25,835.317,1.34085,0.8943,1.44106,0.83804,0.81603,0.84301,0.47577,1.53236,0.93072,1.70714,0.000953,0.000953,0.000953
26,869.072,1.32096,0.84424,1.42815,0.86745,0.83031,0.87715,0.50049,1.5234,0.86711,1.70857,0.000940625,0.000940625,0.000940625
